As_of_Date_In_Form_YYMMDD,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_Change_Dealer_Net_Position,Pct_Change_Lev_Money_Net_Position
180410,0.0,0.0,53.0,65.1,0.0,0.0
180417,0.0,0.0,51.9,64.7,0.0,0.2621359223300971
180424,0.0,0.0,50.2,70.7,0.0,0.8769230769230769
180501,0.0,0.0,60.2,67.7,0.0,-0.6926229508196722
180508,0.0,0.0,51.7,68.7,0.0,1.82
180515,0.0,0.0,53.4,66.1,0.0,-0.2458628841607565
180522,0.0,0.0,49.3,69.7,0.0,0.7210031347962382
180529,0.0,0.0,43.2,66.8,0.0,0.1657559198542805
180605,0.0,0.0,44.1,72.2,0.0,0.1234375
180612,1.1,0.0,51.0,61.8,100.0,-0.6036161335187761
180619,1.1,0.0,56.1,53.7,0.0,-1.224561403508772
180626,1.1,0.0,56.1,56.0,0.0,-0.953125
180703,0.0,0.0,47.7,65.2,-1.0,-148.0
180710,0.0,0.0,53.9,63.0,0.0,-0.4557823129251701
180717,0.0,0.0,51.5,69.7,0.0,1.1708333333333334
180724,0.9,0.0,39.4,67.4,100.0,0.8426103646833013
180731,0.0,0.0,56.2,64.3,-1.0,-0.7427083333333333
180807,0.0,0.0,54.2,53.2,0.0,-1.1093117408906883
180814,0.0,0.0,69.2,59.2,0.0,10.074074074074074
180821,0.0,0.0,70.6,61.7,0.0,-0.11036789297658862
180828,0.0,0.0,59.4,61.4,0.0,-1.2142857142857142
180904,0.0,0.0,43.8,61.2,0.0,7.245614035087719
180911,0.0,0.0,60.1,48.8,0.0,-1.6553191489361703
180918,0.0,0.0,57.1,50.4,0.0,-0.4025974025974026
180925,0.0,0.0,51.4,51.7,-100.0,-1.0434782608695652
181002,0.0,1.7,52.5,57.0,39.0,12.125
181009,0.0,2.7,57.7,58.1,0.9,-0.8761904761904762
181016,0.0,2.8,58.8,59.3,-0.0,0.07692307692307693
181023,0.0,2.5,55.3,46.7,-0.0,-19.5
181030,0.0,0.0,68.6,57.9,-1.0,0.07335907335907337
