Date,Closing Price (USD),active_addresses,hash_rate,btc_left,total_addresses,difficulty,total_fees,fed_assets,GLD,IYE,SLV,SPY,TLT,UUP,NYFed_inflation,Google_popularity,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_Change_Dealer_Net_Position,Pct_Change_Lev_Money_Net_Position
2018-04-10,6789.2675,3758023,2.725243746928663e+19,4029825.0,386630566,1.507989024898e+22,177.40879091,4384029.714285715,127.120003,38.299999,15.62,265.149994,121.08000200000001,23.51,3.145907759,18,0.0,0.0,53.0,65.1,0.0,0.0
2018-04-17,8030.57,4231315,2.8378831378597306e+19,4016287.5,388596483,1.64897405203126e+22,194.75821923,4385586.0,127.75,39.740002000000004,15.8,270.190002,121.269997,23.459999,3.145907759,18,0.0,0.0,51.9,64.7,0.0,0.2621359223300971
2018-04-24,9191.82,4433517,3.016499603244246e+19,4002462.5,390723140,1.64897405203126e+22,226.70325546,4374745.571428572,126.230003,40.009997999999996,15.76,262.980011,117.949997,23.84,3.145907759,18,0.0,0.0,50.2,70.7,0.0,0.8769230769230769
2018-05-01,8949.876240000001,4403620,2.8239407433994318e+19,3989900.0,392808416,1.72746127101045e+22,360.26156311999995,4358522.857142857,123.709999,40.23,15.24,264.980011,118.410004,24.290001,3.19244481,14,0.0,0.0,60.2,67.7,0.0,-0.6926229508196722
2018-05-08,9424.991240000001,4526336,2.9025152470564286e+19,3977200.0,394914118,1.72746127101045e+22,251.32058004000004,4357910.142857143,124.589996,41.029999,15.51,266.920013,118.690002,24.469998999999998,3.19244481,14,0.0,0.0,51.7,68.7,0.0,1.82
2018-05-15,8711.38875,4336654,3.006617309245258e+19,3964300.0,396937156,1.77978225276676e+22,220.6728699,4340551.571428572,122.480003,42.470001,15.33,271.100006,117.25,24.5,3.19244481,14,0.0,0.0,53.4,66.1,0.0,-0.2458628841607565
2018-05-22,8324.025,4138463,3.1386094852253983e+19,3950987.5,398868211,1.77978225276676e+22,270.78248393,4337345.0,122.410004,42.849998,15.58,272.609985,117.089996,24.610001,3.19244481,14,0.0,0.0,49.3,69.7,0.0,0.7210031347962382
2018-05-29,7118.42375,3932876,3.340967200855463e+19,3937212.5,400726046,1.84982075657717e+22,190.69666807,4328916.428571428,123.190002,40.93,15.44,269.019989,122.239998,24.969998999999998,3.19244481,14,0.0,0.0,43.2,66.8,0.0,0.1657559198542805
2018-06-05,7624.187970555799,4324913,3.637003521799504e+19,3922425.0,402703128,2.12201659025037e+22,135.51590328999998,4325777.0,122.849998,41.5,15.52,275.100006,119.709999,24.75,3.2408529460000004,13,0.0,0.0,44.1,72.2,0.0,0.1234375
2018-06-12,6525.329181606,1241736,3.49313647225406e+19,3910050.0,404636460,2.12201659025037e+22,46.57755241,4325196.333333333,122.82,42.119999,15.87,278.920013,119.339996,24.709999,3.2408529460000004,13,1.1,0.0,51.0,61.8,100.0,-0.6036161335187761
2018-06-19,6731.7101466428,3945468,3.832203137434678e+19,3896412.5,406473511,2.18076923002769e+22,229.88882953,4317183.142857143,120.800003,41.34,15.36,275.5,120.970001,25.040001,3.2408529460000004,13,1.1,0.0,56.1,53.7,0.0,-1.224561403508772
2018-06-26,6148.4227054114,3933305,4.003039615878777e+19,3882537.5,408296241,2.18076923002769e+22,471.73508858,4306977.428571428,119.260002,41.169998,15.33,271.600006,120.970001,24.99,3.2408529460000004,13,1.1,0.0,56.1,56.0,0.0,-0.953125
2018-07-03,6482.8305936314,4082546,3.558296972696293e+19,3870362.5,410119698,2.3036823578322e+22,178.50897578,4292010.714285715,118.650002,41.599998,15.03,270.899994,122.0,24.98,3.242809435,12,0.0,0.0,47.7,65.2,-1.0,-148.0
2018-07-10,6364.387589598199,3413811,3.844398714849352e+19,3857487.5,411985143,2.3036823578322e+22,116.31180648,4290961.5,118.93,42.740002000000004,15.12,278.899994,121.949997,24.84,3.242809435,12,0.0,0.0,53.9,63.0,0.0,-0.4557823129251701
2018-07-17,7315.5510403376,4152097,3.640451300713472e+19,3845437.5,413890369,2.22422228784067e+22,117.92159312,4291546.0,116.279999,41.419998,14.67,280.47000099999997,121.980003,25.07,3.242809435,12,0.0,0.0,51.5,69.7,0.0,1.1708333333333334
2018-07-24,8325.801533665799,4452856,4.206235574205811e+19,3831150.0,416002246,2.22422228784067e+22,171.65608353,4279671.571428572,116.040001,41.630001,14.58,281.609985,119.68,25.0,3.242809435,12,0.9,0.0,39.4,67.4,100.0,0.8426103646833013
2018-07-31,7700.8341285235,4508144,4.2712966774270435e+19,3817337.5,418153307,2.55526389406631e+22,154.00889769000003,4258799.857142857,115.989998,42.41,14.61,281.329987,119.699997,24.98,3.242809435,12,0.0,0.0,56.2,64.3,-1.0,-0.7427083333333333
2018-08-07,6748.4414841816015,4427904,4.594007015989889e+19,3803750.0,420226375,2.55526389406631e+22,136.89750533,4257690.428571428,114.589996,41.939999,14.43,285.579987,118.66999799999999,25.18,3.241878078,13,0.0,0.0,54.2,53.2,0.0,-1.1093117408906883
2018-08-14,6123.4476006081995,4210094,4.78672021822424e+19,3790087.5,422285139,2.74419070584645e+22,136.45797882,4233082.0,113.07,41.080002,14.17,283.899994,120.139999,25.59,3.241878078,13,0.0,0.0,69.2,59.2,0.0,10.074074074074074
2018-08-21,6470.7335666522995,4182943,4.881914084875293e+19,3776662.5,424389020,2.74419070584645e+22,158.41903059999999,4228833.142857143,113.019997,40.560001,13.89,286.339996,121.379997,25.23,3.241878078,13,0.0,0.0,70.6,61.7,0.0,-0.11036789297658862
2018-08-28,7084.293616736801,4218680,5.15223947072601e+19,3762900.0,426453127,2.88932133852765e+22,189.47151286,4220328.857142857,113.68,41.25,13.84,289.920013,120.860001,25.1,3.241878078,13,0.0,0.0,59.4,61.4,0.0,-1.2142857142857142
2018-09-04,7361.2718642376,4244719,4.851953013061857e+19,3750237.5,428590276,2.88932133852765e+22,152.54237997,4209984.285714285,112.93,40.950001,13.31,289.809998,120.029999,25.299999,3.195810681,12,0.0,0.0,43.8,61.2,0.0,7.245614035087719
2018-09-11,6275.6695882724,4338365,5.021826252090321e+19,3737450.0,430723637,3.01472311420143e+22,171.4788493,4210481.142857143,113.220001,40.509997999999996,13.28,289.049988,118.660004,25.25,3.195810681,12,0.0,0.0,60.1,48.8,0.0,-1.6553191489361705
2018-09-18,6278.5954861797,4125682,5.00523723267213e+19,3724900.0,432847884,3.01472311420143e+22,130.67285216,4208452.285714285,113.440002,41.310001,13.31,290.910004,117.309998,25.1,3.195810681,12,0.0,0.0,57.1,50.4,0.0,-0.4025974025974026
2018-09-25,6391.385980592801,4308395,5.42999022403601e+19,3711450.0,435139761,3.07203263267169e+22,129.92704363,4195073.285714285,113.650002,42.669998,13.59,290.75,116.68,25.01,3.195810681,12,0.0,0.0,51.4,51.7,-100.0,-1.0434782608695652
2018-10-02,6576.354228941899,4370509,5.313211060787243e+19,3698375.0,437365682,3.07203263267169e+22,154.78647128,4177304.7142857136,113.870003,42.580002,13.79,291.559998,116.860001,25.34,3.1853230530000003,9,0.0,1.7,52.5,57.0,39.0,12.125
2018-10-09,6663.021070746,4478649,5.024038878925981e+19,3686412.5,439733041,3.20188465369959e+22,125.51817103,4176591.4285714286,112.599998,43.049999,13.53,287.399994,113.800003,25.42,3.1853230530000003,9,0.0,2.7,57.7,58.1,0.9,-0.8761904761904762
2018-10-16,6724.8330778968,4498589,5.232435182630628e+19,3674075.0,441911899,3.20188465369959e+22,120.61506202000002,4175654.5714285714,115.800003,40.509997999999996,13.78,280.399994,114.68,25.280001000000002,3.1853230530000003,9,0.0,2.8,58.8,59.3,-0.0,0.07692307692307693
2018-10-23,6396.252324044001,4521755,5.1947920581569634e+19,3661475.0,444127078,3.0850115780363e+22,114.64007436,4173409.4285714286,116.389999,38.099998,13.83,273.609985,113.91999799999999,25.52,3.1853230530000003,9,0.0,2.5,55.3,46.7,-0.0,-19.5
